id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365
848512302610375795,107335103,Centro,Universidad,40.42229920475927,-3.706759596022843,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,169.0,1.0,119,4.2,332
47768291,674118530,Chamberí,Gaztambide,40.43291,-3.7161,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,95.0,2.0,49,4.65,200
1688449993305030636,744867347,Fuencarral - El Pardo,Valverde,40.50036,-3.67644,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,131.5,2.0,1,5.0,358
53714783,305260999,Centro,Palacio,40.42331,-3.710818,Entire serviced apartment,Entire home/apt,10,3.0,4.0,6.0,311.0,1.0,213,4.83,290
5962564,5542111,Centro,Universidad,40.424095,-3.709137,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,142.6,1.0,264,4.24,319
1409252783547414274,315004619,Centro,Palacio,40.41089983932895,-3.715054333250008,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,201.61,1.0,35,4.91,52
13195370,65805318,Centro,Sol,40.41918182373047,-3.706782102584839,Private room in rental unit,Private room,2,1.0,1.0,2.0,285.5,2.0,13,4.85,365
980835769617250729,386318675,Centro,Universidad,40.4236432,-3.7094443,Room in hotel,Private room,2,1.0,1.0,2.0,132.0,1.0,3,4.33,155
1143568618707897254,408340864,Retiro,Ibiza,40.41701,-3.67825,Private room in rental unit,Private room,2,2.0,1.0,1.0,92.67,3.0,3,3.67,361
1690570747505705330,16128302,Hortaleza,Canillas,40.4611024,-3.65601,Entire home,Entire home/apt,5,2.0,4.0,5.0,236.0,3.0,0,,70
1621150270641014508,556259333,Centro,Justicia,40.4219984,-3.700819099999999,Entire rental unit,Entire home/apt,8,2.0,4.0,4.0,641.91,1.0,0,,342
1364571640158786691,127592432,Latina,Cármenes,40.39831718706719,-3.7371298031443785,Entire condo,Entire home/apt,9,1.0,3.0,6.0,103.5,2.0,54,4.22,254
19323256,131884023,Centro,Cortes,40.41479,-3.7018,Entire rental unit,Entire home/apt,6,2.0,2.0,2.0,367.5,1.0,181,4.69,93
